4 machines found
claire
claire
claire
claire
CRF loss
Parsing training data: ../data/train.txt
Parsing test data: ../data/test.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train.txt
Test data: ../data/test.txt
loss: CRF, lambda: 1.000000e-04, Processors: 4
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.40224 1 92.309174 100.000000 92.220780 100.000000
1 20.2607 5.09782 1.49004 3 71.379031 100.000000 71.425300 100.000000
2 17.4237 3.66112 2.05122 4 66.662814 99.825480 66.386747 99.883687
3 15.2976 2.67231 2.64787 5 53.442762 97.673066 53.515536 97.702821
4 13.197 2.13497 3.24405 6 45.397449 96.160558 45.663791 95.347485
5 10.856 2.52546 3.75185 7 39.702539 91.855730 40.445836 92.294272
6 9.27168 1.17401 4.27452 8 33.788001 87.056428 34.632415 87.641756
7 8.67999 0.877935 4.80371 9 31.518514 84.293194 32.300176 85.199186
8 7.80033 0.853367 5.35976 10 28.528494 80.453752 29.341934 81.942425
9 7.17584 1.5436 5.89892 11 27.133665 77.254218 28.105199 78.016865
10 6.65223 0.7331 6.49843 12 24.552075 72.833042 25.585923 74.411166
11 6.38958 0.544082 7.02403 13 23.646592 71.931355 24.627834 73.044490
12 5.89935 0.61694 7.46951 14 22.220938 69.342641 23.463623 72.055830
13 5.41367 0.845006 7.90272 15 21.068855 67.219314 22.421559 70.485606
14 5.03634 0.723804 8.33629 16 20.398413 65.852240 22.039850 69.962198
15 4.78652 0.389523 8.84337 17 19.281008 63.699825 20.963432 67.345158
16 4.5562 0.364758 9.34412 18 18.560475 61.140198 20.177113 65.193370
17 4.35319 0.387833 9.90022 19 17.782145 58.871437 19.608367 63.477755
18 4.13935 0.711821 10.4211 20 17.608754 58.406050 20.028246 63.332364
19 3.88662 0.294441 10.8604 21 16.341078 55.119255 18.948011 61.035185
20 3.76659 0.243602 11.2901 22 16.067507 54.333915 18.593022 60.715324
21 3.64562 0.382712 11.8875 23 15.894116 53.577661 18.451790 61.006106
22 3.53435 0.425622 12.3457 24 15.562748 53.083188 18.173143 60.104682
23 3.44749 0.246602 12.7743 25 15.135052 52.036067 17.837239 59.581274
24 3.31728 0.248114 13.3218 26 14.611028 50.407213 17.375372 57.952893
25 3.22642 0.245307 13.9151 27 14.375987 50.087260 17.131079 57.342251
