==> training in progress with 100 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.0122 192.5973 1.932 1 92.40 100.00 92.22 100.00	
1 24.0015 192.4607 19.362 2 66.62 100.00 69.44 100.00	
2 22.1302 173.3408 36.539 3 58.62 100.00 63.11 100.00	
3 19.8701 151.4532 53.686 4 56.85 99.00 61.57 99.85	
4 17.8389 132.5188 70.978 5 53.05 99.00 59.31 99.42	
5 16.1141 116.7902 88.270 6 46.40 96.00 56.29 98.95	
6 14.5802 103.2549 105.610 7 38.94 92.00 52.33 98.05	
7 13.1412 91.3234 122.688 8 34.74 90.00 49.71 97.12	
8 11.5677 77.0992 140.159 9 29.31 83.00 45.25 95.75	
9 10.5024 67.0621 157.236 10 26.59 80.00 43.26 94.88	
10 9.6414 59.5665 174.266 11 24.83 75.00 42.09 94.36	
11 8.7204 52.4366 191.410 12 21.98 71.00 41.02 93.54	
12 8.0047 45.3975 208.781 13 20.35 69.00 39.85 92.59	
13 7.3884 41.6251 225.833 14 19.27 68.00 39.42 92.32	
14 6.8159 35.7652 242.846 15 17.37 64.00 38.66 91.33	
15 6.3542 33.0254 260.073 16 16.69 63.00 38.24 91.01	
16 5.8663 29.7260 277.147 17 14.11 58.00 37.60 90.14	
17 5.4821 25.6903 294.205 18 12.89 56.00 37.14 89.68	
18 5.1649 24.0115 311.193 19 11.13 50.00 37.07 89.24	
19 4.8379 21.9632 328.512 20 9.50 46.00 36.54 89.10	
20 4.5762 18.7349 345.562 21 9.09 45.00 36.25 88.63	
21 4.3512 16.8661 362.543 22 7.60 40.00 36.08 88.34	
22 4.1634 15.1315 379.751 23 6.51 35.00 35.91 88.05	
23 4.0122 13.2531 396.845 24 5.16 32.00 35.89 88.02	
24 3.8773 12.6096 413.921 25 4.75 29.00 35.71 87.82	
25 3.7588 10.4396 430.916 26 3.80 24.00 35.66 87.93	
26 3.6686 9.7253 448.267 27 3.39 21.00 35.55 87.70	
27 3.5836 8.3596 465.395 28 2.58 17.00 35.49 87.41	
28 3.5278 7.5794 482.398 29 2.04 15.00 35.54 87.58	
29 3.4750 8.6170 499.619 30 2.04 14.00 35.58 87.44	
30 3.4368 7.7301 516.703 31 1.90 13.00 35.54 87.32	
31 3.4016 7.7757 533.756 32 1.49 11.00 35.61 87.47	
32 3.3722 6.9741 550.775 33 1.49 11.00 35.56 87.12	
33 3.3470 6.8041 568.113 34 1.49 11.00 35.62 87.09	
34 3.3248 6.0295 585.083 35 1.36 10.00 35.61 87.03	
35 3.3081 5.4637 602.004 36 1.22 9.00 35.65 87.00	
36 3.2887 4.9699 619.215 37 1.22 9.00 35.64 86.89	
37 3.2758 4.4457 636.203 38 1.09 8.00 35.72 86.91	
38 3.2650 4.0211 653.196 39 1.09 8.00 35.73 86.77	
39 3.2541 3.5370 670.154 40 0.95 7.00 35.77 86.80	
40 3.2463 3.0983 687.429 41 0.81 6.00 35.73 86.65	
41 3.2389 2.8974 704.443 42 0.68 5.00 35.79 86.62	
42 3.2324 2.4021 721.427 43 0.41 3.00 35.76 86.59	
43 3.2276 2.2494 738.608 44 0.41 3.00 35.80 86.65	
44 3.2230 3.3135 755.669 45 0.54 4.00 35.88 86.68	
45 3.2199 3.1001 772.697 46 0.54 4.00 35.90 86.65	
46 3.2169 2.8658 789.633 47 0.41 3.00 35.89 86.57	
47 3.2130 2.6992 806.908 48 0.41 3.00 35.90 86.54	
48 3.2106 2.4824 823.942 49 0.41 3.00 35.93 86.62	
49 3.2083 2.2554 840.942 50 0.27 2.00 36.00 86.68	
<optim.lbfgs> 	reached max number of iterations	
