4 machines found
claire
claire
claire
claire
CRF loss
Parsing training data: ../data/train.txt
Parsing test data: ../data/test.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train.txt
Test data: ../data/test.txt
loss: CRF, lambda: 1.000000e-04, Processors: 4
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
0 24.5949 4.55704 0.385417 1 92.309174 100.000000 92.220780 100.000000
1 20.2607 5.09782 1.57195 3 71.379031 100.000000 71.425300 100.000000
2 17.4237 3.66112 2.16946 4 66.662814 99.825480 66.386747 99.883687
3 15.3939 2.70412 2.69819 5 53.211575 97.614892 53.236888 97.441117
4 13.4798 1.95075 3.1834 6 44.210689 94.764398 44.442324 94.504216
5 10.8227 1.32836 3.79209 7 39.887489 92.990111 40.472555 93.573713
6 9.2961 1.57761 4.39973 8 33.788001 86.823735 34.311780 86.624019
7 8.37337 0.982249 5.00683 9 30.728625 83.478767 31.868845 84.704856
8 7.88378 0.73551 5.50771 10 28.890687 81.151832 30.128254 82.407677
9 6.98551 0.776371 6.01817 11 25.588564 75.072717 26.555462 76.184937
10 6.86676 1.56769 6.62219 12 24.844912 74.229203 26.143217 75.457982
11 6.35131 0.624362 7.22688 13 23.118715 70.855148 24.284297 73.160803
12 6.1812 0.397369 7.75546 14 22.829731 70.622455 23.902588 72.317534
13 6.0189 0.42108 8.17881 15 22.544600 70.564282 23.685014 72.375691
14 5.56094 0.957009 8.78621 16 21.315455 68.644561 22.997939 72.462925
15 5.33395 0.710526 9.39316 17 20.213463 67.073880 21.837545 70.892701
16 5.20106 0.375964 9.86279 18 19.685585 65.677720 21.410031 70.020355
17 5.09608 0.338306 10.4135 19 19.446692 64.514252 21.154287 68.886304
18 5.02834 0.37794 11.5597 21 19.061380 63.176265 20.730590 67.141611
19 4.97698 0.239172 12.0694 22 18.714599 61.809191 20.490114 66.763594
20 4.9241 0.26283 12.6103 23 18.479559 60.994764 20.314528 66.211108
21 4.69202 0.494332 13.0357 24 18.240666 60.354857 19.909917 64.204711
22 4.35299 0.831362 13.6273 25 18.132778 58.231530 19.803038 62.954347
23 4.07432 0.365229 14.0517 26 17.362155 56.719023 19.184671 61.849375
24 3.94235 0.341339 14.6525 27 17.053905 56.369983 18.928926 61.267810
25 3.72934 0.735376 15.6661 29 16.514468 54.915649 18.657913 59.813899
26 3.47201 0.355496 16.2004 30 15.273764 51.948807 17.776166 57.981972
27 3.31439 0.24819 16.6452 31 14.715062 50.668994 17.612031 57.981972
28 3.28108 0.638101 17.1878 32 14.707356 50.988947 17.837239 57.865659
29 3.18645 0.249359 17.7025 33 14.175625 49.534613 17.360104 57.022390
30 3.14946 0.159372 18.3146 34 14.121682 49.418266 17.127262 56.702530
31 3.11226 0.207176 18.7863 35 13.998382 49.040140 16.840980 56.382669
32 3.0009 0.234848 19.3579 36 13.351058 47.178592 16.321857 55.161384
33 2.97081 0.353368 19.7818 37 13.077486 46.800465 16.379113 55.248619
34 2.93517 0.18625 20.298 38 12.857858 46.276905 16.008856 54.550741
35 2.89596 0.161339 20.8154 39 12.761530 45.927865 15.818001 54.143646
36 2.85991 0.139491 21.234 40 12.534196 44.909831 15.818001 53.765630
37 2.83851 0.169241 22.0842 42 12.538050 45.142525 15.814184 53.271300
38 2.82107 0.146531 22.5112 43 12.457134 44.764398 15.802733 53.503926
39 2.74999 0.249298 23.0678 44 12.121913 43.920884 15.722574 52.457110
40 2.72081 0.213294 24.227 46 11.909991 43.484584 15.634781 52.718814
41 2.69869 0.157047 24.8386 47 11.809810 43.339151 15.493549 52.311719
42 2.64674 0.130718 25.4377 48 11.678804 42.524724 15.115658 51.090433
43 2.62818 0.133058 26.5739 50 11.694216 42.611984 15.073670 51.090433
44 2.61659 0.0915655 27.1855 51 11.597888 42.495637 15.024048 50.945042
45 2.59786 0.0979436 27.7804 52 11.501561 42.321117 14.905718 50.363478
46 2.58 0.273724 28.203 53 11.401379 41.972077 14.985877 50.886886
47 2.55479 0.101321 28.6458 54 11.278080 41.593950 14.974426 50.625182
48 2.54283 0.111764 29.0688 55 11.262667 41.419430 14.947706 50.421634
49 2.51802 0.110929 29.4913 56 11.023774 40.954043 14.917169 50.189008
50 2.49796 0.168587 30.372 58 10.935152 41.186736 14.974426 50.537947
51 2.47723 0.105786 30.8035 59 10.834971 41.012216 14.924803 50.537947
52 2.45704 0.10335 31.3492 60 10.746349 40.546830 14.810291 50.334400
53 2.44537 0.151668 31.8956 61 10.784880 40.314136 14.852279 50.189008
54 2.43237 0.107638 32.4954 62 10.700112 39.994183 14.833193 50.450712
55 2.40093 0.0981386 33.0295 63 10.468925 39.761489 14.974426 50.712416
56 2.39045 0.221311 33.5489 64 10.515162 39.674229 15.024048 50.596104
57 2.37136 0.0912184 34.1169 65 10.499750 39.703316 14.966791 50.508869
58 2.36087 0.0935212 34.5652 66 10.480484 40.023269 14.840828 50.421634
59 2.3422 0.108055 35.0948 67 10.414981 39.790576 14.810291 50.450712
60 2.32216 0.201289 35.7071 68 10.249297 38.976149 14.573632 49.374818
61 2.30484 0.106304 36.1845 69 10.226178 38.917976 14.565997 49.403896
62 2.29694 0.0861528 36.62 70 10.264709 39.150669 14.550729 49.607444
63 2.27998 0.0877171 37.1262 71 10.079760 38.743455 14.378960 49.374818
64 2.2684 0.108694 37.6476 72 10.045081 38.539849 14.451485 49.113114
65 2.2621 0.0936187 38.2005 73 9.964166 38.394415 14.470570 49.403896
66 2.25682 0.0878855 38.7226 74 9.917929 38.307155 14.451485 49.520209
67 2.24762 0.241278 39.2425 75 9.890957 37.812682 14.558363 49.287584
68 2.23231 0.0539914 39.7896 76 9.825454 37.958115 14.359875 49.025880
69 2.23024 0.0472327 40.4014 77 9.810041 38.074462 14.321704 48.967723
70 2.22425 0.042583 40.9148 78 9.640504 37.725422 14.291167 48.967723
71 2.22385 0.0946096 41.5204 79 9.798482 37.870855 14.302619 48.996801
72 2.22199 0.0368873 42.086 80 9.713713 37.754508 14.287350 48.793254
73 2.22132 0.0211767 42.5637 81 9.690595 37.754508 14.298801 48.851410
74 2.22063 0.0242565 42.9861 82 9.709860 37.783595 14.256813 48.706019
75 2.21948 0.0538127 43.4966 83 9.775363 37.812682 14.249179 48.851410
76 2.21802 0.0292196 44.0376 84 9.783069 37.841768 14.275899 48.822332
77 2.21569 0.0558987 44.6364 85 9.686741 37.638162 14.348424 48.880489
78 2.2084 0.0948134 45.1584 86 9.667476 37.754508 14.348424 48.967723
79 2.19523 0.090594 46.1239 88 9.586560 37.434555 14.424765 49.200349
80 2.18973 0.042764 46.6793 89 9.517204 37.289122 14.470570 49.258505
81 2.18604 0.0384081 47.2076 90 9.582707 37.230948 14.512558 49.287584
82 2.18478 0.18803 47.7139 91 9.594267 37.521815 14.344606 48.764176
83 2.17433 0.0413109 48.1379 92 9.532617 37.260035 14.386594 48.967723
84 2.17294 0.033048 48.7529 93 9.497939 37.172775 14.378960 48.938645
85 2.17002 0.0355743 49.3182 94 9.482526 37.172775 14.340789 48.967723
86 2.16728 0.0617173 49.9311 95 9.459407 36.852821 14.348424 48.938645
