==> training in progress with 100 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.0122 192.5973 1.920 0 92.40 100.00 92.22 100.00	
1 81.5660 113.1853 23.776 1 47.08 91.00 59.65 97.94	
2 48.2165 95.1332 45.564 2 35.28 86.00 52.79 95.87	
3 33.3757 70.9017 66.697 3 27.00 76.00 49.65 95.52	
4 25.3293 50.4452 88.120 4 20.49 62.00 48.79 94.74	
5 38.4977 91.0056 109.442 5 27.54 76.00 53.00 94.56	
6 22.2043 55.2703 131.007 6 19.54 62.00 47.05 93.20	
7 31.1939 74.4917 151.586 7 23.61 74.00 49.67 94.30	
8 26.5782 56.5948 172.599 8 16.69 62.00 49.56 93.57	
9 30.9667 70.1378 193.342 9 18.86 69.00 51.06 95.64	
10 32.8706 64.2468 214.110 10 20.90 69.00 51.75 95.49	
11 23.9520 43.9085 234.758 11 13.43 57.00 48.60 94.13	
12 24.2143 47.0193 255.293 12 14.65 58.00 48.98 93.02	
13 20.1431 33.7807 276.165 13 12.62 50.00 48.74 92.76	
14 20.0545 37.4138 296.651 14 10.18 43.00 48.86 93.52	
15 18.4438 34.6388 317.075 15 10.18 43.00 48.81 93.60	
16 20.1002 41.8736 337.775 16 10.99 51.00 48.96 94.97	
17 20.4528 39.9759 358.272 17 11.67 43.00 49.52 93.57	
18 17.2310 25.8023 378.676 18 7.73 38.00 45.64 92.70	
19 16.3422 26.0822 399.118 19 8.14 37.00 46.21 92.35	
20 19.7482 36.1400 419.348 20 9.09 38.00 47.34 92.99	
21 26.4789 47.5572 439.858 21 13.30 57.00 48.75 93.49	
22 25.9595 43.0095 460.478 22 11.67 45.00 50.03 93.63	
23 27.3171 38.9793 481.048 23 10.04 41.00 45.71 92.47	
24 24.5719 34.9356 501.280 24 9.77 41.00 44.77 92.09	
25 25.7067 32.9746 521.405 25 8.82 42.00 46.27 91.65	
26 26.7616 31.1166 541.366 26 8.14 39.00 46.43 92.44	
27 23.6733 28.8051 561.720 27 7.87 38.00 45.58 92.27	
28 24.4054 39.2660 581.993 28 9.77 39.00 48.03 93.05	
29 21.3926 27.4763 602.111 29 7.73 40.00 46.21 92.61	
30 23.2557 33.7216 622.346 30 9.36 38.00 48.06 93.52	
31 21.3539 27.5922 642.472 31 6.92 31.00 47.20 93.14	
32 19.8162 21.9135 662.605 32 6.38 30.00 47.62 93.60	
33 20.3076 18.5733 682.739 33 5.56 31.00 46.57 93.31	
34 19.6821 27.4004 702.891 34 6.38 29.00 46.40 93.05	
35 19.0587 22.1562 723.669 35 5.29 23.00 44.53 91.95	
36 22.4778 34.3198 743.880 36 7.46 35.00 46.04 92.47	
37 17.4473 19.7959 763.831 37 5.02 25.00 45.33 92.09	
38 18.0581 18.8377 783.908 38 3.53 22.00 45.80 92.76	
39 19.4562 27.0393 804.131 39 6.78 35.00 47.39 93.14	
40 17.3663 16.0502 824.314 40 3.80 23.00 45.53 92.32	
41 18.7760 24.7318 844.551 41 5.83 27.00 46.45 91.36	
42 18.7387 19.1237 864.804 42 4.61 24.00 45.34 91.71	
43 20.7144 29.0441 885.013 43 7.46 32.00 46.97 91.97	
44 20.3955 21.8109 905.030 44 5.43 24.00 46.14 91.65	
45 18.9144 23.7954 925.225 45 5.97 25.00 46.20 92.18	
46 17.1643 14.9861 945.648 46 3.66 18.00 44.98 91.31	
47 16.9076 15.0906 965.823 47 3.93 16.00 44.87 90.38	
48 15.9766 12.5536 985.785 48 2.85 13.00 45.55 90.84	
49 14.6922 8.4327 1005.840 49 1.36 8.00 43.95 89.74	
<SAG-NUS> 	reached max number of iterations	
