==> training in progress with 100 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.0122 192.5973 2.085 0.0000 92.40 100.00 92.22 100.00	
1 79.6530 118.9377 27.555 1.0000 46.95 91.00 60.19 97.99	
2 53.4203 102.1317 52.445 2.0000 34.60 83.00 52.85 96.37	
3 33.2382 78.0663 76.627 3.0000 28.36 73.00 50.04 95.14	
4 19.8421 48.7103 100.986 4.0000 20.62 69.00 49.11 95.52	
5 16.2087 54.8992 124.780 5.0000 19.27 67.00 47.98 94.85	
6 11.8129 46.1599 149.184 6.0000 16.96 63.00 46.62 94.01	
7 10.8476 42.7804 172.797 7.0000 13.03 46.00 45.52 93.20	
8 8.7796 40.6173 197.148 8.0000 12.75 54.00 46.10 93.75	
9 6.3986 38.0478 220.638 9.0000 10.45 45.00 45.24 92.99	
10 4.6250 23.8281 244.369 10.0000 8.55 35.00 44.39 92.18	
11 4.8928 26.8576 268.287 11.0000 7.87 32.00 45.63 93.02	
12 7.6688 37.8966 291.925 12.0000 10.18 43.00 45.61 93.98	
13 7.4230 38.8638 315.517 13.0000 9.77 46.00 48.09 93.66	
14 4.1663 21.7866 339.653 14.0000 6.38 30.00 46.04 93.54	
15 4.1669 21.5941 363.313 15.0000 5.97 26.00 45.19 93.43	
16 3.5610 20.7752 386.647 16.0000 6.92 31.00 44.85 92.06	
17 4.2312 26.8656 410.007 17.0000 6.65 32.00 45.19 91.86	
18 2.7260 18.7456 433.502 18.0000 5.43 27.00 44.22 91.68	
19 2.0049 12.7408 457.302 19.0000 3.39 17.00 44.60 90.96	
20 2.8472 21.6646 480.660 20.0000 5.70 26.00 45.53 91.89	
21 1.7774 13.1890 504.109 21.0000 3.53 18.00 43.62 90.72	
22 2.8937 20.5485 527.349 22.0000 5.29 27.00 45.58 92.06	
23 1.4574 12.0253 550.413 23.0000 3.12 17.00 43.99 91.31	
24 1.8010 12.6542 573.511 24.0000 3.26 20.00 43.16 91.45	
25 2.2221 18.3951 596.627 25.0000 4.88 21.00 44.62 92.24	
26 4.4859 28.4501 619.654 26.0000 6.51 32.00 46.26 92.64	
27 3.4741 18.0612 642.791 27.0000 4.88 25.00 45.24 92.06	
28 4.2455 19.2694 666.009 28.0000 5.43 28.00 45.16 92.32	
29 3.3929 16.3438 688.953 29.0000 4.61 23.00 46.42 92.85	
30 5.5794 26.1489 712.194 30.0000 6.92 34.00 46.68 92.70	
31 2.2312 21.9636 735.348 31.0000 4.88 20.00 46.27 92.82	
32 1.0756 8.4487 758.431 32.0000 2.04 13.00 44.35 91.39	
33 2.4121 15.1366 781.590 33.0000 3.80 20.00 43.87 90.93	
34 1.8604 10.3860 804.254 34.0000 2.58 16.00 44.81 91.65	
35 4.8193 24.1968 827.885 35.0000 5.83 29.00 44.95 91.92	
36 4.2921 21.2265 850.732 36.0000 5.29 24.00 44.22 91.45	
37 4.1621 16.6304 873.778 37.0000 4.07 20.00 45.47 91.92	
38 1.3923 8.5379 897.034 38.0000 2.04 12.00 45.54 91.25	
39 1.0531 10.5187 920.341 39.0000 2.31 12.00 44.62 91.77	
40 2.6434 15.3113 943.325 40.0000 3.53 18.00 45.63 92.12	
41 2.3964 15.0653 966.468 41.0000 3.93 21.00 46.26 91.60	
42 0.7451 6.0413 989.741 42.0000 1.36 9.00 45.09 90.99	
43 2.3195 15.2715 1013.511 43.0000 4.34 21.00 47.74 92.03	
44 1.1470 14.2586 1036.738 44.0000 3.12 15.00 46.74 91.36	
45 1.7565 11.7394 1059.825 45.0000 2.58 16.00 46.07 91.19	
46 1.3293 9.0714 1083.104 46.0000 2.31 15.00 46.57 91.28	
47 0.8460 4.5698 1106.270 47.0000 0.95 4.00 44.70 91.10	
48 1.7840 13.4441 1129.530 48.0000 3.26 18.00 45.89 91.68	
49 1.5217 14.2974 1152.700 49.0000 3.12 19.00 46.01 92.03	
<SAG-NUS> 	reached max number of iterations	
