==> training in progress with 100 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.0122 192.5973 1.854 1 92.40 100.00 92.22 100.00	
1 8.0823 67.2763 21.329 2 26.32 69.00 45.48 94.82	
2 6.6648 63.6756 40.947 3 20.08 55.00 40.60 91.01	
3 5.5197 57.7648 60.430 4 14.52 43.00 41.03 91.16	
4 5.0036 53.0763 79.664 5 12.21 39.00 42.34 90.46	
5 4.4857 43.4927 99.169 6 8.96 35.00 40.93 91.01	
6 3.9619 30.2862 118.720 7 4.34 22.00 39.25 89.71	
7 4.1053 39.8371 138.343 8 6.11 30.00 39.68 90.11	
8 3.8527 27.9868 157.788 9 3.66 20.00 37.12 87.58	
9 3.9049 34.4756 177.730 10 3.80 21.00 39.14 88.95	
10 3.6905 18.8161 197.571 11 3.12 18.00 38.28 87.58	
11 3.7884 26.8250 217.481 12 4.34 23.00 38.13 88.51	
12 3.6806 22.6767 237.207 13 2.58 12.00 38.11 88.02	
13 3.6077 23.5297 256.887 14 1.63 10.00 38.41 88.54	
14 3.5760 17.1142 276.993 15 1.76 12.00 37.85 88.40	
15 3.7155 25.9456 296.771 16 2.04 13.00 38.10 87.70	
16 3.7940 30.6587 316.712 17 3.93 19.00 38.37 87.99	
17 3.6728 23.4641 336.874 18 2.44 15.00 36.97 88.14	
18 3.7492 30.6689 356.797 19 2.71 16.00 38.47 88.92	
19 3.6036 21.6737 376.361 20 1.90 12.00 37.90 88.08	
20 3.6502 21.8874 395.985 21 2.17 13.00 39.51 88.92	
21 3.8518 33.0719 415.648 22 3.12 17.00 39.00 88.89	
22 3.6310 19.8287 435.232 23 3.12 15.00 37.08 87.44	
23 3.7695 28.4045 454.674 24 4.21 19.00 39.01 88.22	
24 3.6989 22.2530 474.190 25 2.31 11.00 37.73 87.15	
25 3.8557 33.9340 493.882 26 3.53 17.00 39.41 89.01	
26 3.6934 25.5889 513.582 27 1.36 9.00 37.16 87.12	
27 3.7360 25.9236 533.213 28 2.58 14.00 38.42 88.57	
28 3.6575 23.9422 552.975 29 2.31 14.00 37.90 88.25	
29 3.7795 29.3873 572.521 30 2.99 16.00 37.93 88.08	
30 3.6368 19.7978 592.155 31 2.44 12.00 37.67 88.66	
31 3.7578 28.9686 611.638 32 2.58 13.00 38.84 88.57	
32 3.6159 18.8283 630.884 33 2.99 12.00 36.42 87.00	
33 3.7341 22.7857 650.436 34 2.99 11.00 37.75 88.22	
34 3.6375 20.6807 670.017 35 2.44 12.00 37.00 87.50	
35 3.6520 24.9215 689.603 36 2.99 16.00 38.65 88.75	
36 3.8227 32.5118 709.134 37 4.48 19.00 38.14 88.28	
37 3.7001 22.7705 728.517 38 2.44 12.00 37.90 88.14	
38 3.6710 23.7756 748.018 39 3.39 18.00 36.79 85.96	
39 3.7030 24.5039 767.536 40 2.58 13.00 37.40 87.58	
40 3.7911 30.3806 787.124 41 3.80 18.00 38.12 88.92	
41 3.7297 27.3660 806.400 42 2.85 16.00 38.13 88.34	
42 3.8106 29.7679 826.032 43 3.93 17.00 37.82 87.03	
43 3.7422 22.3531 845.536 44 3.26 15.00 36.48 86.68	
44 3.7112 21.7528 864.959 45 2.71 14.00 37.62 88.05	
45 3.8019 31.7380 884.235 46 3.26 17.00 38.80 88.66	
46 3.7876 27.8088 903.792 47 3.93 19.00 39.39 89.12	
47 3.7262 23.6001 923.242 48 2.99 14.00 37.82 87.41	
48 3.8903 35.7288 942.908 49 3.93 22.00 39.16 88.60	
49 3.5723 17.9220 962.351 50 2.31 11.00 37.92 88.14	
<vanilla SGD> 	reached max number of iterations	
