==> training in progress with 3438 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.5949 186.2461 75.274 0.0000 92.31 100.00 92.22 100.00	
1 6.2238 64.2435 203.412 0.2909 26.78 74.29 28.63 76.39	
2 5.6381 61.5964 332.106 0.5817 24.73 71.70 26.69 74.50	
3 4.9509 55.0905 460.592 0.8726 21.89 64.28 24.03 68.22	
4 4.5060 39.9655 589.252 1.1635 18.58 60.21 21.52 66.15	
5 4.5681 47.3008 717.593 1.4543 19.85 61.87 22.40 67.40	
6 3.7669 21.9925 847.283 1.7452 16.01 52.07 19.28 59.55	
7 4.3210 38.7369 985.243 2.0361 18.88 59.51 21.88 65.57	
8 4.1525 38.3794 1114.103 2.3269 18.18 57.65 21.14 65.22	
9 4.2477 41.9725 1243.186 2.6178 18.73 58.49 21.57 65.25	
10 4.0157 34.0542 1371.745 2.9087 18.12 59.80 21.91 66.50	
11 4.2475 36.8044 1499.308 3.1995 19.14 59.63 22.29 65.31	
12 4.1465 41.0590 1627.921 3.4904 18.24 55.70 21.15 61.56	
13 4.1081 43.6180 1756.225 3.7813 18.03 57.33 21.07 65.22	
14 3.7523 32.0565 1883.736 4.0721 16.25 53.03 19.57 59.06	
15 4.0222 33.3240 2009.085 4.3630 18.06 57.27 21.09 63.01	
16 3.7418 29.9370 2133.650 4.6539 15.77 52.41 19.12 60.31	
17 3.8025 29.7213 2258.674 4.9447 16.37 53.55 19.44 60.22	
18 3.9291 32.0072 2383.807 5.2356 16.86 54.54 20.26 61.67	
19 3.9725 41.0886 2510.086 5.5265 17.16 54.48 20.68 61.41	
20 3.9806 32.7418 2635.738 5.8173 16.66 55.90 20.23 63.86	
21 3.8588 30.7065 2761.178 6.1082 16.35 53.98 20.11 62.26	
22 3.4388 17.8230 2888.593 6.3991 14.04 47.64 17.52 55.60	
23 4.2048 45.2016 3015.952 6.6899 17.84 56.95 20.70 61.59	
24 3.7982 29.5614 3143.648 6.9808 16.14 53.03 19.13 60.42	
25 3.7849 26.9436 3269.190 7.2717 15.63 53.05 19.08 59.90	
26 3.5638 19.5032 3394.592 7.5625 14.41 48.60 17.67 57.55	
27 3.5788 22.1430 3521.663 7.8534 14.33 49.30 18.03 57.17	
28 3.8276 34.4880 3649.672 8.1443 15.87 55.44 19.14 61.38	
29 3.4878 22.4251 3776.603 8.4351 14.67 50.61 18.28 58.10	
30 3.4928 19.7588 3904.127 8.7260 14.16 49.48 17.63 56.88	
31 3.9026 32.4004 4031.256 9.0169 16.07 52.12 19.75 60.13	
32 3.6677 27.9314 4159.074 9.3077 15.08 51.19 18.72 59.61	
33 3.8334 32.6100 4286.136 9.5986 15.91 52.79 20.12 61.27	
34 3.6971 24.1462 4413.750 9.8895 15.48 52.24 19.39 60.51	
35 3.9721 37.9796 4542.290 10.1803 16.22 56.49 19.93 62.66	
36 3.6657 25.4883 4670.295 10.4712 15.00 50.52 18.35 58.53	
37 3.8750 31.5400 4797.637 10.7621 15.27 51.19 19.04 58.53	
38 4.0073 35.1738 4926.222 11.0529 16.17 53.03 19.56 60.95	
39 3.9972 31.7611 5054.272 11.3438 15.90 54.54 19.80 61.88	
40 3.7463 27.6865 5182.667 11.6347 15.28 52.24 19.04 59.76	
41 3.7159 27.6648 5310.850 11.9255 15.28 51.63 19.44 61.24	
42 3.5405 21.6278 5439.252 12.2164 14.11 49.45 18.21 57.98	
43 3.7411 27.9360 5567.484 12.5073 14.96 50.70 18.91 58.97	
44 3.6991 30.3392 5697.159 12.7981 15.43 52.68 19.12 60.48	
45 3.6675 24.9685 5825.745 13.0890 14.30 49.33 18.30 57.92	
46 3.4633 16.7271 5955.192 13.3799 13.71 47.38 17.92 56.47	
47 3.5259 21.6260 6083.236 13.6707 14.08 48.75 18.18 57.95	
48 3.7161 25.7109 6209.995 13.9616 15.09 50.41 18.66 59.12	
49 3.7852 30.4450 6336.755 14.2525 15.39 50.90 19.05 60.72	
50 3.8661 33.1707 6463.956 14.5433 15.96 53.00 19.78 61.15	
51 4.0223 32.4113 6591.444 14.8342 17.06 54.68 20.57 63.36	
52 3.7040 26.9366 6718.789 15.1251 14.89 51.34 19.08 59.55	
53 3.9607 37.3176 6846.870 15.4159 16.77 53.93 20.44 61.67	
54 3.9987 36.0763 6974.328 15.7068 16.77 53.34 20.51 60.28	
55 3.8896 35.1686 7101.771 15.9977 16.19 54.77 19.90 61.47	
56 3.9842 35.2950 7229.255 16.2885 16.19 54.04 19.99 63.01	
57 4.3471 44.4789 7354.467 16.5794 18.41 57.97 22.09 64.93	
58 3.8642 31.8450 7479.426 16.8703 15.67 53.49 20.26 63.39	
59 3.8546 31.0179 7604.224 17.1611 15.33 52.76 19.19 61.82	
60 3.9039 34.2005 7729.275 17.4520 17.03 53.87 20.83 62.29	
61 4.3303 36.9199 7853.570 17.7429 17.40 54.01 21.08 62.20	
62 3.5547 19.2421 7977.567 18.0337 14.12 47.96 18.04 56.96	
63 3.9438 32.9892 8101.854 18.3246 16.36 53.29 19.58 59.44	
64 3.9953 35.5309 8226.179 18.6155 16.39 53.69 20.17 61.44	
65 3.8427 28.8311 8350.291 18.9063 14.95 51.25 18.62 58.68	
66 3.7069 26.1363 8475.018 19.1972 14.87 50.67 18.38 57.17	
67 3.8481 30.6231 8599.239 19.4881 15.20 51.28 19.14 59.99	
68 3.6853 22.6734 8723.188 19.7789 14.54 51.05 18.35 57.81	
69 3.4491 18.9288 8847.241 20.0698 13.49 47.21 17.28 56.27	
70 3.6890 26.1667 8971.282 20.3607 14.18 48.20 18.46 56.59	
71 3.6753 25.7957 9095.501 20.6515 14.13 50.03 18.72 60.45	
72 3.7039 26.9687 9219.640 20.9424 14.60 49.94 18.50 58.71	
73 3.8661 28.1256 9342.959 21.2333 15.00 52.04 18.31 57.98	
74 3.4811 19.6873 9467.473 21.5241 13.56 47.32 17.48 55.86	
75 3.8926 32.3107 9591.425 21.8150 15.61 51.22 19.36 59.81	
76 3.8119 27.2216 9716.569 22.1059 15.45 53.40 19.28 60.72	
77 3.6699 22.7465 9843.640 22.3967 14.24 48.43 18.11 56.44	
78 3.9159 32.2359 9971.102 22.6876 16.45 53.96 19.25 59.38	
79 3.6861 25.5835 10098.678 22.9785 14.72 50.99 18.63 60.10	
80 3.6944 26.7985 10227.270 23.2693 14.16 49.19 17.98 57.46	
81 4.0495 32.9281 10354.757 23.5602 16.21 54.36 20.02 62.95	
82 3.9447 31.9981 10482.123 23.8511 15.98 53.00 19.33 60.37	
83 3.3556 17.4575 10611.735 24.1419 13.29 46.22 17.51 56.88	
84 3.8493 30.2283 10738.411 24.4328 15.30 50.76 19.43 59.93	
85 3.4384 20.5714 10865.943 24.7237 13.61 47.56 17.12 55.31	
86 3.9135 32.3490 10992.575 25.0145 15.28 52.15 19.12 59.70	
87 3.5446 20.1909 11120.195 25.3054 14.14 49.97 18.24 58.53	
88 4.1517 38.1400 11247.363 25.5963 17.67 54.89 20.85 61.67	
89 3.8200 30.1604 11374.139 25.8871 14.64 50.12 17.86 57.17	
90 4.2026 41.4703 11501.458 26.1780 17.55 56.20 21.02 63.33	
91 3.8207 31.3007 11628.663 26.4689 15.14 49.62 18.69 57.37	
92 3.8356 33.1673 11755.301 26.7597 15.17 50.29 18.98 59.61	
93 3.4504 19.9380 11881.717 27.0506 13.89 47.96 17.89 56.18	
94 3.6323 23.8268 12008.402 27.3415 14.19 48.14 18.06 56.44	
95 3.7596 32.3220 12135.489 27.6323 15.54 52.88 19.56 61.56	
96 3.9875 35.1043 12262.517 27.9232 16.45 54.54 20.51 63.65	
97 4.7453 50.9372 12389.474 28.2141 19.24 60.27 22.77 67.52	
98 3.7802 28.6494 12516.511 28.5049 15.28 53.55 19.51 62.29	
99 3.7511 28.0747 12643.775 28.7958 14.74 50.41 18.94 58.62	
100 3.5796 22.2024 12771.536 29.0867 14.03 48.40 18.25 58.07	
101 4.4199 45.7588 12898.986 29.3775 18.71 60.59 22.25 67.08	
102 3.9245 30.3260 13026.135 29.6684 15.68 52.68 19.39 61.12	
103 3.7520 27.4686 13154.392 29.9593 14.99 51.34 18.67 60.16	
104 3.7230 25.6835 13281.801 30.2501 14.58 50.73 19.06 59.15	
105 3.6804 27.4413 13409.345 30.5410 14.62 49.33 18.52 58.85	
106 3.8114 31.5472 13536.378 30.8319 15.24 51.95 18.92 59.70	
107 3.8702 33.2266 13663.977 31.1227 15.75 52.71 18.61 58.04	
108 3.7880 23.3945 13791.261 31.4136 15.02 51.45 18.78 59.00	
109 3.8266 28.5457 13918.278 31.7045 15.30 52.27 19.19 59.84	
110 3.8443 32.8325 14044.798 31.9953 15.47 52.79 19.17 60.19	
111 3.8301 31.4735 14172.018 32.2862 15.51 51.19 19.72 60.34	
112 3.8947 30.3220 14298.629 32.5771 15.26 51.57 18.86 58.97	
113 3.5852 23.3806 14425.452 32.8679 13.94 49.10 17.87 58.53	
114 3.5206 21.1009 14552.611 33.1588 13.88 49.48 18.13 58.74	
115 4.0412 41.6944 14679.585 33.4497 17.26 56.89 20.91 63.33	
116 3.8875 31.8746 14806.310 33.7405 15.38 53.23 19.43 60.63	
117 4.0650 36.3910 14933.963 34.0314 16.43 55.18 20.75 62.55	
118 3.6614 26.3065 15061.278 34.3223 14.13 49.27 18.25 58.13	
